State Name,county Name,State Code,County Code,DATE,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
Maryland,Anne Arundel,24,3,5/11/24,36,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/12/24,30,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/13/24,43,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/14/24,30,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/15/24,32,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/16/24,38,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/17/24,36,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/18/24,31,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/19/24,33,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/21/24,42,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/22/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/23/24,47,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/24/24,93,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/25/24,84,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/26/24,64,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/27/24,31,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/28/24,47,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/29/24,42,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/30/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/31/24,45,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/1/24,61,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/2/24,50,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/3/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/4/24,64,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/5/24,33,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/6/24,36,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/7/24,49,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/8/24,45,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/9/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/10/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/11/24,35,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/12/24,48,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/13/24,49,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/14/24,80,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/15/24,46,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/16/24,49,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/17/24,47,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/18/24,47,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/19/24,46,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/20/24,46,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/21/24,87,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/23/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/24/24,46,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/25/24,61,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/26/24,71,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/27/24,67,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/28/24,45,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/29/24,42,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,6/30/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/1/24,32,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/2/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/3/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/4/24,67,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/5/24,49,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/7/24,74,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/8/24,97,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/9/24,47,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/10/24,33,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/11/24,58,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/12/24,45,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/13/24,71,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/14/24,67,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/15/24,84,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/16/24,87,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/18/24,49,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/19/24,61,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/20/24,42,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/21/24,77,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/22/24,35,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/23/24,80,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/24/24,49,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/25/24,61,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/26/24,46,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/27/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/28/24,90,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/29/24,71,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/30/24,36,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,7/31/24,71,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/1/24,129,Unhealthy for Sensitive Groups,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/2/24,54,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/3/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/4/24,39,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/5/24,61,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/6/24,51,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/7/24,29,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/8/24,21,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/9/24,27,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/10/24,51,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/11/24,41,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/12/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/13/24,39,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/14/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/15/24,43,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/16/24,54,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/17/24,37,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/18/24,35,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/19/24,34,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/20/24,35,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/21/24,33,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/22/24,40,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/23/24,74,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/24/24,77,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/25/24,67,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/26/24,61,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/27/24,93,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/28/24,84,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/29/24,42,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/30/24,20,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,8/31/24,31,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/1/24,39,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/2/24,36,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/3/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/4/24,47,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/6/24,40,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/7/24,25,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/8/24,37,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/10/24,51,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/11/24,61,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/13/24,40,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/15/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/16/24,38,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/17/24,31,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/18/24,31,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/19/24,46,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/20/24,54,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/21/24,40,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/22/24,35,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/23/24,28,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/24/24,29,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/25/24,21,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/26/24,19,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/27/24,16,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/28/24,21,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/29/24,19,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,9/30/24,19,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/1/24,22,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/2/24,17,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/3/24,29,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/4/24,29,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/5/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/6/24,46,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/7/24,38,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/8/24,39,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/9/24,43,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/10/24,21,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/11/24,30,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/12/24,50,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/13/24,45,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/14/24,31,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/15/24,28,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/16/24,28,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/17/24,31,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/18/24,32,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/19/24,31,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/20/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/21/24,61,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/22/24,51,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/23/24,49,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/24/24,34,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/25/24,31,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/26/24,37,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/27/24,31,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/28/24,33,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/29/24,37,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/30/24,32,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,10/31/24,36,Good,Ozone,24-003-1004,1
